Scenario_ID,Scenario,Method,Caliper,Max_Abs_SMD,Retention,N_Matched,RMSE,Meets_Threshold
28,"n=1000, prev=0.5, medium, strong",Fixed-0.5,0.5,0.07556483440652498,0.6570119460125966,320.889,0.16980066191270513,Yes
28,"n=1000, prev=0.5, medium, strong",No Caliper,None,0.5213282745222494,1.0,488.561,1.3659866933086187,No
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,0.644,0.08985713597923485,0.679055067277574,331.652,0.21462256020973403,Yes
28,"n=1000, prev=0.5, medium, strong",ACS-Knee,0.525,0.07883377878485891,0.6632832591873239,323.946,0.20088590096879108,Yes
28,"n=1000, prev=0.5, medium, strong",ACS-Weighted,0.949,0.13424416948369694,0.7319014734794845,357.464,0.38069786654777343,No
29,"n=1000, prev=0.5, low, weak",Fixed-0.1,0.1,0.07509998526196514,0.4578064304327942,224.367,0.13704170637036964,Yes
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,0.2,0.07566753073922597,0.46851428856341576,229.616,0.13571098635045856,Yes
29,"n=1000, prev=0.5, low, weak",Fixed-0.5,0.5,0.10392515247592757,0.5193015703798959,254.51,0.13765263734000338,No
29,"n=1000, prev=0.5, low, weak",No Caliper,None,0.6901333437737346,1.0,490.214,0.5485400412737786,No
29,"n=1000, prev=0.5, low, weak",ACS-Balance,0.447,0.090244838272535,0.5097897979894644,249.847,0.1368046848788771,Yes
29,"n=1000, prev=0.5, low, weak",ACS-Knee,0.488,0.1038547407106754,0.520293820438087,254.995,0.14229142905383316,No
29,"n=1000, prev=0.5, low, weak",ACS-Weighted,0.891,0.1755786272016876,0.610473238910063,299.155,0.18748293538873642,No
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,0.1,0.07574828434618688,0.4591319654761826,225.084,0.1575535276270011,Yes
30,"n=1000, prev=0.5, low, strong",Fixed-0.2,0.2,0.07635482175734455,0.4699717772252235,230.399,0.1577024892254897,Yes
30,"n=1000, prev=0.5, low, strong",Fixed-0.5,0.5,0.10526723670469756,0.5204094226369418,255.124,0.2169757781425472,No
30,"n=1000, prev=0.5, low, strong",No Caliper,None,0.6899362964720203,1.0,490.343,1.8046445700861322,No
30,"n=1000, prev=0.5, low, strong",ACS-Balance,0.437,0.09011094494477566,0.5093703596228468,249.712,0.20388695879772012,Yes
30,"n=1000, prev=0.5, low, strong",ACS-Knee,0.487,0.10612153468705528,0.5219013928943471,255.847,0.25576827006132463,No
30,"n=1000, prev=0.5, low, strong",ACS-Weighted,0.898,0.17751677612020206,0.612760530255917,300.395,0.501281538882014,No
31,"n=1000, prev=0.7, high, weak",Fixed-0.1,0.1,0.06513715122692341,0.9517819659485512,285.373,0.12108143916808306,Yes
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,0.2,0.06491082063037415,0.9638050200746288,288.983,0.12089445030606043,Yes
