scenario_id,n,treatment_prevalence,overlap_name,confounding_name,method,mean_caliper,mean_n_matched,mean_retention,mean_max_smd,sd_max_smd,mean_mean_smd,mean_att,sd_att,mean_bias,mean_abs_bias,mean_mse,coverage_rate,mean_ci_width,rmse
6,500,0.3,low,strong,No Caliper,inf,150.091,1.0,0.3544886675711078,0.06176439206775004,0.2134417665396914,1.3076550281408275,0.1819371572987112,0.8076550281408275,0.8076550281408275,0.7138831493503464,0.004,0.6656593278488128,0.8449160605352145
7,500,0.5,high,weak,ACS-Balance,0.8869,204.692,0.8484826101074401,0.08752938322281387,0.009874110629064953,0.04664401605382796,0.5448133838803679,0.09970904122470292,0.044813383880368006,0.08596700041995654,0.0225464687713488,0.933,0.40545951439386313,0.15015481601117162
7,500,0.5,high,weak,ACS-Knee,0.6889500000000001,200.443,0.8308443815295958,0.07354608005672546,0.02750651463174443,0.039307239061801696,0.5321552751125718,0.10147989680686764,0.032155275112571706,0.08429592277180861,0.022116339379267696,0.945,0.40907251442148135,0.14871563259882162
7,500,0.5,high,weak,ACS-Weighted,1.01885,208.887,0.8658747547624872,0.09835198158404496,0.0429938724336607,0.057383086749899226,0.5597006343284409,0.10499633255511673,0.059700634328440805,0.09634350320233474,0.024988020242133067,0.904,0.401702801279256,0.15807599514832435
7,500,0.5,high,weak,Fixed-0.1,0.1,184.361,0.7641853311974607,0.0678719124585473,0.025629845851616873,0.03313587551235798,0.50033825158192,0.10546919421051337,0.00033825158192004104,0.08492667796550271,0.022813133983177206,0.956,0.42610212941709746,0.15104017340819365
7,500,0.5,high,weak,Fixed-0.2,0.2,189.043,0.7835934276470571,0.06450828886430342,0.025078575027618615,0.03144544199169961,0.5037422043881347,0.1033377175239267,0.0037422043881346436,0.08292862913407294,0.02210856067585325,0.966,0.42103063164619614,0.14868947735415997
7,500,0.5,high,weak,Fixed-0.5,0.5,195.715,0.8112584104388586,0.06736129953314171,0.02187405273235043,0.03197517732201635,0.5174468232643737,0.10114694073157256,0.017446823264373714,0.08159180131379713,0.021563299158483436,0.959,0.41376282444627693,0.146844472686184
7,500,0.5,high,weak,No Caliper,inf,241.397,1.0,0.3282543534630799,0.080091518713778,0.1904771043513778,0.7240061572160148,0.10815959150777614,0.2240061572160148,0.22584515950289433,0.0713467532851603,0.379,0.38317677748477347,0.2671081303239576
8,500,0.5,high,strong,ACS-Balance,0.88325,204.566,0.8472004139063224,0.08804996533651206,0.00928308859637233,0.04669834991616602,0.6423308995561632,0.11214948811622916,0.1423308995561632,0.15386850306831953,0.052055200702918206,0.86,0.5437196936654487,0.2281560884633987
8,500,0.5,high,strong,ACS-Knee,0.6828,200.104,0.8287030949151456,0.07311507922015482,0.026924982838836337,0.03876935604785378,0.5989746555946397,0.12216825264594632,0.09897465559463971,0.1265173217721779,0.044169130296497536,0.911,0.5469359569661559,0.2101645314902054
8,500,0.5,high,strong,ACS-Weighted,1.0408499999999998,209.203,0.8663885682964017,0.10112010018973433,0.04521775743642215,0.05883862811070187,0.6969604303993373,0.15292307432789087,0.19696043039933728,0.20671034359556983,0.08127283744124296,0.699,0.5421512781884917,0.28508391298220065
8,500,0.5,high,strong,Fixed-0.1,0.1,184.16,0.7626523613913927,0.06747279050279928,0.023920832459202773,0.03338160683565078,0.496174571361106,0.11135786916561713,-0.003825428638894033,0.08970834356746216,0.033123469843545986,0.989,0.564401326828833,0.1819985435203974
8,500,0.5,high,strong,Fixed-0.2,0.2,188.925,0.7823918143207511,0.06296475892619617,0.022872542250263014,0.031055445360271515,0.5045070312418293,0.10908021243257764,0.004507031241829276,0.08697221668359753,0.032153231026914614,0.989,0.557791673495436,0.1793132204465544
8,500,0.5,high,strong,Fixed-0.5,0.5,195.524,0.8097279897911032,0.0665078020340396,0.020386920684371545,0.031840801766826354,0.5501564586215544,0.10878359346668597,0.05015645862155442,0.09592600588884355,0.03403815020359983,0.977,0.5502378963796114,0.18449430940709208
8,500,0.5,high,strong,No Caliper,inf,241.593,1.0,0.330046035432219,0.07567394569784083,0.19303739888110327,1.2422879267126326,0.2004193935213346,0.7422879267126326,0.7422879267126326,0.6128889238333464,0.015,0.5797919927908141,0.7828722270162267
