Scenario ID,Scenario,Method,Mean Estimate,Bias,RMSE,Coverage,CI Width
20,"n=1000, prev=0.3, high, strong",Fixed-0.2,N/A,-0.0003,0.1426,0.982,0.4338
20,"n=1000, prev=0.3, high, strong",Fixed-0.5,N/A,0.0120,0.1424,0.976,0.4310
20,"n=1000, prev=0.3, high, strong",No Caliper,N/A,0.0585,0.1585,0.935,0.4302
21,"n=1000, prev=0.3, medium, weak",ACS-Balance,N/A,0.0437,0.1306,0.925,0.3478
21,"n=1000, prev=0.3, medium, weak",ACS-Knee,N/A,0.0335,0.1290,0.934,0.3518
21,"n=1000, prev=0.3, medium, weak",ACS-Weighted,N/A,0.0504,0.1330,0.915,0.3458
21,"n=1000, prev=0.3, medium, weak",Fixed-0.1,N/A,0.0017,0.1287,0.958,0.3659
21,"n=1000, prev=0.3, medium, weak",Fixed-0.2,N/A,0.0042,0.1280,0.957,0.3632
21,"n=1000, prev=0.3, medium, weak",Fixed-0.5,N/A,0.0183,0.1263,0.956,0.3562
21,"n=1000, prev=0.3, medium, weak",No Caliper,N/A,0.1115,0.1631,0.747,0.3338
22,"n=1000, prev=0.3, medium, strong",ACS-Balance,N/A,0.1486,0.2133,0.751,0.4414
22,"n=1000, prev=0.3, medium, strong",ACS-Knee,N/A,0.1115,0.1967,0.839,0.4448
22,"n=1000, prev=0.3, medium, strong",ACS-Weighted,N/A,0.1652,0.2326,0.684,0.4412
22,"n=1000, prev=0.3, medium, strong",Fixed-0.1,N/A,0.0028,0.1521,0.984,0.4586
22,"n=1000, prev=0.3, medium, strong",Fixed-0.2,N/A,0.0115,0.1509,0.986,0.4555
22,"n=1000, prev=0.3, medium, strong",Fixed-0.5,N/A,0.0576,0.1582,0.960,0.4478
22,"n=1000, prev=0.3, medium, strong",No Caliper,N/A,0.3765,0.4110,0.100,0.4445
23,"n=1000, prev=0.3, low, weak",ACS-Balance,N/A,0.0375,0.1445,0.946,0.3939
23,"n=1000, prev=0.3, low, weak",ACS-Knee,N/A,0.0489,0.1488,0.912,0.3889
23,"n=1000, prev=0.3, low, weak",ACS-Weighted,N/A,0.0899,0.1653,0.812,0.3718
23,"n=1000, prev=0.3, low, weak",Fixed-0.1,N/A,0.0061,0.1476,0.958,0.4165
23,"n=1000, prev=0.3, low, weak",Fixed-0.2,N/A,0.0108,0.1452,0.962,0.4115
23,"n=1000, prev=0.3, low, weak",Fixed-0.5,N/A,0.0358,0.1423,0.944,0.3931
23,"n=1000, prev=0.3, low, weak",No Caliper,N/A,0.2385,0.2672,0.214,0.3371
24,"n=1000, prev=0.3, low, strong",ACS-Balance,N/A,0.1220,0.2108,0.846,0.4923
24,"n=1000, prev=0.3, low, strong",ACS-Knee,N/A,0.1596,0.2501,0.708,0.4881
24,"n=1000, prev=0.3, low, strong",ACS-Weighted,N/A,0.3025,0.3667,0.366,0.4718
24,"n=1000, prev=0.3, low, strong",Fixed-0.1,N/A,0.0048,0.1754,0.973,0.5166
24,"n=1000, prev=0.3, low, strong",Fixed-0.2,N/A,0.0207,0.1741,0.963,0.5115
24,"n=1000, prev=0.3, low, strong",Fixed-0.5,N/A,0.1146,0.2014,0.885,0.4919
24,"n=1000, prev=0.3, low, strong",No Caliper,N/A,0.7884,0.8070,0.000,0.4648
25,"n=1000, prev=0.5, high, weak",ACS-Balance,N/A,0.0499,0.1125,0.894,0.2807
25,"n=1000, prev=0.5, high, weak",ACS-Knee,N/A,0.0234,0.1068,0.931,0.2864
25,"n=1000, prev=0.5, high, weak",ACS-Weighted,N/A,0.0510,0.1171,0.869,0.2807
25,"n=1000, prev=0.5, high, weak",Fixed-0.1,N/A,0.0003,0.1051,0.956,0.2938
25,"n=1000, prev=0.5, high, weak",Fixed-0.2,N/A,0.0020,0.1047,0.953,0.2921
25,"n=1000, prev=0.5, high, weak",Fixed-0.5,N/A,0.0149,0.1040,0.948,0.2880
25,"n=1000, prev=0.5, high, weak",No Caliper,N/A,0.2299,0.2523,0.110,0.2678
26,"n=1000, prev=0.5, high, strong",ACS-Balance,N/A,0.1714,0.2093,0.571,0.3666
26,"n=1000, prev=0.5, high, strong",ACS-Knee,N/A,0.0773,0.1526,0.874,0.3705
26,"n=1000, prev=0.5, high, strong",ACS-Weighted,N/A,0.1817,0.2370,0.553,0.3669
26,"n=1000, prev=0.5, high, strong",Fixed-0.1,N/A,0.0006,0.1243,0.987,0.3778
26,"n=1000, prev=0.5, high, strong",Fixed-0.2,N/A,0.0071,0.1232,0.984,0.3753
26,"n=1000, prev=0.5, high, strong",Fixed-0.5,N/A,0.0516,0.1326,0.954,0.3712
26,"n=1000, prev=0.5, high, strong",No Caliper,N/A,0.7665,0.7877,0.000,0.4004
27,"n=1000, prev=0.5, medium, weak",ACS-Balance,N/A,0.0521,0.1233,0.906,0.3151
27,"n=1000, prev=0.5, medium, weak",ACS-Knee,N/A,0.0387,0.1210,0.919,0.3189
27,"n=1000, prev=0.5, medium, weak",ACS-Weighted,N/A,0.0972,0.1521,0.742,0.3049
27,"n=1000, prev=0.5, medium, weak",Fixed-0.1,N/A,0.0049,0.1171,0.957,0.3311
27,"n=1000, prev=0.5, medium, weak",Fixed-0.2,N/A,0.0082,0.1153,0.956,0.3288
27,"n=1000, prev=0.5, medium, weak",Fixed-0.5,N/A,0.0340,0.1170,0.947,0.3199
27,"n=1000, prev=0.5, medium, weak",No Caliper,N/A,0.4121,0.4241,0.000,0.2708
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,N/A,0.1634,0.2146,0.635,0.3987
28,"n=1000, prev=0.5, medium, strong",ACS-Knee,N/A,0.1251,0.2009,0.747,0.4023
