Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
18,"n=500, prev=0.7, low, strong",ACS-Knee,114.7,N/A,0.767,0.205,0.3772,0.3960,0.5500,N/A,0.576
18,"n=500, prev=0.7, low, strong",ACS-Weighted,132.4,N/A,0.884,0.305,0.6966,0.6970,0.7799,N/A,0.112
18,"n=500, prev=0.7, low, strong",Fixed-0.1,93.1,N/A,0.622,0.125,0.0134,0.1294,0.2512,N/A,0.975
18,"n=500, prev=0.7, low, strong",Fixed-0.2,95.8,N/A,0.640,0.121,0.0398,0.1341,0.2507,N/A,0.975
18,"n=500, prev=0.7, low, strong",Fixed-0.5,106.5,N/A,0.712,0.152,0.2030,0.2167,0.3128,N/A,0.813
18,"n=500, prev=0.7, low, strong",No Caliper,149.9,N/A,1.000,0.778,1.9166,1.9166,1.9386,N/A,0.000
19,"n=1000, prev=0.3, high, weak",ACS-Balance,298.7,N/A,0.997,0.068,0.0128,0.0690,0.1208,N/A,0.950
19,"n=1000, prev=0.3, high, weak",ACS-Knee,295.5,N/A,0.987,0.061,0.0066,0.0687,0.1208,N/A,0.948
19,"n=1000, prev=0.3, high, weak",ACS-Weighted,296.9,N/A,0.991,0.062,0.0089,0.0687,0.1206,N/A,0.948
19,"n=1000, prev=0.3, high, weak",Fixed-0.1,284.6,N/A,0.950,0.066,-0.0036,0.0703,0.1230,N/A,0.948
19,"n=1000, prev=0.3, high, weak",Fixed-0.2,288.2,N/A,0.962,0.065,-0.0030,0.0697,0.1222,N/A,0.949
19,"n=1000, prev=0.3, high, weak",Fixed-0.5,292.6,N/A,0.977,0.064,0.0006,0.0688,0.1210,N/A,0.949
19,"n=1000, prev=0.3, high, weak",No Caliper,299.5,N/A,1.000,0.070,0.0147,0.0695,0.1212,N/A,0.947
20,"n=1000, prev=0.3, high, strong",ACS-Balance,298.6,N/A,0.997,0.067,0.0519,0.0869,0.1545,N/A,0.951
20,"n=1000, prev=0.3, high, strong",ACS-Knee,295.3,N/A,0.986,0.061,0.0314,0.0768,0.1469,N/A,0.968
20,"n=1000, prev=0.3, high, strong",ACS-Weighted,296.8,N/A,0.991,0.062,0.0394,0.0806,0.1494,N/A,0.960
20,"n=1000, prev=0.3, high, strong",Fixed-0.1,284.5,N/A,0.950,0.066,-0.0027,0.0724,0.1441,N/A,0.982
20,"n=1000, prev=0.3, high, strong",Fixed-0.2,288.0,N/A,0.962,0.064,-0.0003,0.0712,0.1426,N/A,0.982
20,"n=1000, prev=0.3, high, strong",Fixed-0.5,292.3,N/A,0.976,0.063,0.0120,0.0711,0.1424,N/A,0.976
20,"n=1000, prev=0.3, high, strong",No Caliper,299.5,N/A,1.000,0.069,0.0585,0.0913,0.1585,N/A,0.935
21,"n=1000, prev=0.3, medium, weak",ACS-Balance,273.1,N/A,0.910,0.090,0.0437,0.0773,0.1306,N/A,0.925
21,"n=1000, prev=0.3, medium, weak",ACS-Knee,266.9,N/A,0.889,0.079,0.0335,0.0746,0.1290,N/A,0.934
21,"n=1000, prev=0.3, medium, weak",ACS-Weighted,276.3,N/A,0.921,0.090,0.0504,0.0802,0.1330,N/A,0.915
21,"n=1000, prev=0.3, medium, weak",Fixed-0.1,245.4,N/A,0.818,0.071,0.0017,0.0706,0.1287,N/A,0.958
21,"n=1000, prev=0.3, medium, weak",Fixed-0.2,248.9,N/A,0.830,0.069,0.0042,0.0699,0.1280,N/A,0.957
21,"n=1000, prev=0.3, medium, weak",Fixed-0.5,259.4,N/A,0.864,0.073,0.0183,0.0700,0.1263,N/A,0.956
21,"n=1000, prev=0.3, medium, weak",No Caliper,300.3,N/A,1.000,0.167,0.1115,0.1196,0.1631,N/A,0.747
22,"n=1000, prev=0.3, medium, strong",ACS-Balance,272.7,N/A,0.910,0.090,0.1486,0.1566,0.2133,N/A,0.751
22,"n=1000, prev=0.3, medium, strong",ACS-Knee,266.6,N/A,0.890,0.079,0.1115,0.1312,0.1967,N/A,0.839
22,"n=1000, prev=0.3, medium, strong",ACS-Weighted,275.2,N/A,0.919,0.089,0.1652,0.1728,0.2326,N/A,0.684
22,"n=1000, prev=0.3, medium, strong",Fixed-0.1,244.5,N/A,0.816,0.071,0.0028,0.0786,0.1521,N/A,0.984
22,"n=1000, prev=0.3, medium, strong",Fixed-0.2,247.9,N/A,0.828,0.070,0.0115,0.0773,0.1509,N/A,0.986
22,"n=1000, prev=0.3, medium, strong",Fixed-0.5,258.5,N/A,0.863,0.072,0.0576,0.0878,0.1582,N/A,0.960
22,"n=1000, prev=0.3, medium, strong",No Caliper,299.7,N/A,1.000,0.167,0.3765,0.3765,0.4110,N/A,0.100
23,"n=1000, prev=0.3, low, weak",ACS-Balance,213.1,N/A,0.711,0.092,0.0375,0.0840,0.1445,N/A,0.946
23,"n=1000, prev=0.3, low, weak",ACS-Knee,218.9,N/A,0.730,0.105,0.0489,0.0892,0.1488,N/A,0.912
23,"n=1000, prev=0.3, low, weak",ACS-Weighted,240.5,N/A,0.802,0.139,0.0899,0.1103,0.1653,N/A,0.812
23,"n=1000, prev=0.3, low, weak",Fixed-0.1,190.3,N/A,0.635,0.086,0.0061,0.0822,0.1476,N/A,0.958
23,"n=1000, prev=0.3, low, weak",Fixed-0.2,194.6,N/A,0.649,0.084,0.0108,0.0805,0.1452,N/A,0.962
23,"n=1000, prev=0.3, low, weak",Fixed-0.5,212.7,N/A,0.710,0.098,0.0358,0.0805,0.1423,N/A,0.944
23,"n=1000, prev=0.3, low, weak",No Caliper,299.9,N/A,1.000,0.330,0.2385,0.2387,0.2672,N/A,0.214
24,"n=1000, prev=0.3, low, strong",ACS-Balance,213.2,N/A,0.711,0.092,0.1220,0.1429,0.2108,N/A,0.846
24,"n=1000, prev=0.3, low, strong",ACS-Knee,219.2,N/A,0.731,0.105,0.1596,0.1774,0.2501,N/A,0.708
24,"n=1000, prev=0.3, low, strong",ACS-Weighted,241.6,N/A,0.806,0.140,0.3025,0.3047,0.3667,N/A,0.366
24,"n=1000, prev=0.3, low, strong",Fixed-0.1,190.3,N/A,0.635,0.086,0.0048,0.0930,0.1754,N/A,0.973
24,"n=1000, prev=0.3, low, strong",Fixed-0.2,194.5,N/A,0.649,0.084,0.0207,0.0921,0.1741,N/A,0.963
24,"n=1000, prev=0.3, low, strong",Fixed-0.5,212.6,N/A,0.709,0.098,0.1146,0.1306,0.2014,N/A,0.885
24,"n=1000, prev=0.3, low, strong",No Caliper,300.0,N/A,1.000,0.331,0.7884,0.7884,0.8070,N/A,0.000
25,"n=1000, prev=0.5, high, weak",ACS-Balance,417.7,N/A,0.856,0.085,0.0499,0.0701,0.1125,N/A,0.894
25,"n=1000, prev=0.5, high, weak",ACS-Knee,400.8,N/A,0.821,0.055,0.0234,0.0630,0.1068,N/A,0.931
25,"n=1000, prev=0.5, high, weak",ACS-Weighted,418.5,N/A,0.858,0.082,0.0510,0.0749,0.1171,N/A,0.869
25,"n=1000, prev=0.5, high, weak",Fixed-0.1,379.2,N/A,0.777,0.046,0.0003,0.0594,0.1051,N/A,0.956
25,"n=1000, prev=0.5, high, weak",Fixed-0.2,384.2,N/A,0.787,0.044,0.0020,0.0594,0.1047,N/A,0.953
25,"n=1000, prev=0.5, high, weak",Fixed-0.5,395.7,N/A,0.811,0.050,0.0149,0.0594,0.1040,N/A,0.948
25,"n=1000, prev=0.5, high, weak",No Caliper,488.1,N/A,1.000,0.312,0.2299,0.2299,0.2523,N/A,0.110
26,"n=1000, prev=0.5, high, strong",ACS-Balance,417.2,N/A,0.856,0.085,0.1714,0.1719,0.2093,N/A,0.571
