Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
26,"n=1000, prev=0.5, high, strong",ACS-Knee,399.7,N/A,0.820,0.054,0.0773,0.0960,0.1526,N/A,0.874
26,"n=1000, prev=0.5, high, strong",ACS-Weighted,418.9,N/A,0.860,0.083,0.1817,0.1850,0.2370,N/A,0.553
26,"n=1000, prev=0.5, high, strong",Fixed-0.1,378.9,N/A,0.778,0.046,0.0006,0.0625,0.1243,N/A,0.987
26,"n=1000, prev=0.5, high, strong",Fixed-0.2,384.1,N/A,0.788,0.045,0.0071,0.0620,0.1232,N/A,0.984
26,"n=1000, prev=0.5, high, strong",Fixed-0.5,395.2,N/A,0.811,0.050,0.0516,0.0754,0.1326,N/A,0.954
26,"n=1000, prev=0.5, high, strong",No Caliper,487.5,N/A,1.000,0.311,0.7665,0.7665,0.7877,N/A,0.000
27,"n=1000, prev=0.5, medium, weak",ACS-Balance,331.4,N/A,0.678,0.090,0.0521,0.0763,0.1233,N/A,0.906
27,"n=1000, prev=0.5, medium, weak",ACS-Knee,323.3,N/A,0.662,0.078,0.0387,0.0727,0.1210,N/A,0.919
27,"n=1000, prev=0.5, medium, weak",ACS-Weighted,356.5,N/A,0.730,0.132,0.0972,0.1084,0.1521,N/A,0.742
27,"n=1000, prev=0.5, medium, weak",Fixed-0.1,298.2,N/A,0.610,0.061,0.0049,0.0645,0.1171,N/A,0.957
27,"n=1000, prev=0.5, medium, weak",Fixed-0.2,302.7,N/A,0.620,0.060,0.0082,0.0629,0.1153,N/A,0.956
27,"n=1000, prev=0.5, medium, weak",Fixed-0.5,320.4,N/A,0.656,0.076,0.0340,0.0672,0.1170,N/A,0.947
27,"n=1000, prev=0.5, medium, weak",No Caliper,488.7,N/A,1.000,0.524,0.4121,0.4121,0.4241,N/A,0.000
28,"n=1000, prev=0.5, medium, strong",ACS-Balance,331.7,N/A,0.679,0.090,0.1634,0.1673,0.2146,N/A,0.635
28,"n=1000, prev=0.5, medium, strong",ACS-Knee,323.9,N/A,0.663,0.079,0.1251,0.1391,0.2009,N/A,0.747
28,"n=1000, prev=0.5, medium, strong",ACS-Weighted,357.5,N/A,0.732,0.134,0.3150,0.3166,0.3807,N/A,0.280
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,299.0,N/A,0.612,0.061,0.0058,0.0692,0.1370,N/A,0.981
28,"n=1000, prev=0.5, medium, strong",Fixed-0.2,303.3,N/A,0.621,0.060,0.0177,0.0706,0.1376,N/A,0.977
28,"n=1000, prev=0.5, medium, strong",Fixed-0.5,320.9,N/A,0.657,0.076,0.1033,0.1130,0.1698,N/A,0.860
28,"n=1000, prev=0.5, medium, strong",No Caliper,488.6,N/A,1.000,0.521,1.3543,1.3543,1.3660,N/A,0.000
29,"n=1000, prev=0.5, low, weak",ACS-Balance,249.8,N/A,0.510,0.090,0.0390,0.0810,0.1368,N/A,0.922
29,"n=1000, prev=0.5, low, weak",ACS-Knee,255.0,N/A,0.520,0.104,0.0480,0.0871,0.1423,N/A,0.891
29,"n=1000, prev=0.5, low, weak",ACS-Weighted,299.2,N/A,0.610,0.176,0.1225,0.1368,0.1875,N/A,0.665
29,"n=1000, prev=0.5, low, weak",Fixed-0.1,224.4,N/A,0.458,0.075,0.0021,0.0770,0.1370,N/A,0.946
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,229.6,N/A,0.469,0.076,0.0081,0.0765,0.1357,N/A,0.960
