Scenario ID,Scenario,Method,Retention,Max |SMD|,Mean |Bias|,RMSE,Coverage,CI Width
8,"n=500, prev=0.5, high, strong",No Caliper,1.0,0.33,0.7423,0.7829,0.015,0.5798
9,"n=500, prev=0.5, medium, weak",ACS-Balance,0.664,0.0907,0.0912,0.1631,0.954,0.4556
9,"n=500, prev=0.5, medium, weak",ACS-Knee,0.6793,0.1057,0.0966,0.1671,0.935,0.4507
9,"n=500, prev=0.5, medium, weak",ACS-Weighted,0.744,0.153,0.1236,0.1886,0.822,0.4316
9,"n=500, prev=0.5, medium, weak",Fixed-0.1,0.608,0.0877,0.0918,0.1664,0.965,0.4758
9,"n=500, prev=0.5, medium, weak",Fixed-0.2,0.6205,0.0864,0.0904,0.1638,0.968,0.4714
9,"n=500, prev=0.5, medium, weak",Fixed-0.5,0.659,0.096,0.0897,0.1615,0.951,0.4568
9,"n=500, prev=0.5, medium, weak",No Caliper,1.0,0.5367,0.3947,0.4194,0.028,0.3852
10,"n=500, prev=0.5, medium, strong",ACS-Balance,0.661,0.091,0.1468,0.2308,0.908,0.5834
10,"n=500, prev=0.5, medium, strong",ACS-Knee,0.6756,0.1055,0.1819,0.2671,0.783,0.5794
10,"n=500, prev=0.5, medium, strong",ACS-Weighted,0.7432,0.1552,0.3519,0.4354,0.421,0.5649
10,"n=500, prev=0.5, medium, strong",Fixed-0.1,0.6052,0.0869,0.1028,0.1992,0.984,0.6046
10,"n=500, prev=0.5, medium, strong",Fixed-0.2,0.6173,0.0856,0.1026,0.1985,0.984,0.5987
10,"n=500, prev=0.5, medium, strong",Fixed-0.5,0.6561,0.0972,0.1329,0.22,0.939,0.5836
10,"n=500, prev=0.5, medium, strong",No Caliper,1.0,0.5398,1.3434,1.3669,0.0,0.599
11,"n=500, prev=0.5, low, weak",ACS-Balance,0.4932,0.0953,0.1081,0.1896,0.95,0.5267
11,"n=500, prev=0.5, low, weak",ACS-Knee,0.5361,0.1379,0.1199,0.1962,0.915,0.5057
11,"n=500, prev=0.5, low, weak",ACS-Weighted,0.6321,0.21,0.161,0.23,0.748,0.4689
11,"n=500, prev=0.5, low, weak",Fixed-0.1,0.4548,0.1104,0.1111,0.1964,0.946,0.5475
11,"n=500, prev=0.5, low, weak",Fixed-0.2,0.4672,0.1076,0.1111,0.1945,0.951,0.5407
11,"n=500, prev=0.5, low, weak",Fixed-0.5,0.5199,0.129,0.1098,0.1884,0.941,0.512
11,"n=500, prev=0.5, low, weak",No Caliper,1.0,0.7092,0.5328,0.5518,0.002,0.3838
12,"n=500, prev=0.5, low, strong",ACS-Balance,0.4952,0.0953,0.1404,0.2423,0.93,0.6627
12,"n=500, prev=0.5, low, strong",ACS-Knee,0.5364,0.1357,0.2203,0.3159,0.735,0.6424
12,"n=500, prev=0.5, low, strong",ACS-Weighted,0.6331,0.2079,0.4672,0.5731,0.327,0.6063
12,"n=500, prev=0.5, low, strong",Fixed-0.1,0.456,0.1109,0.1172,0.2263,0.984,0.688
12,"n=500, prev=0.5, low, strong",Fixed-0.2,0.4689,0.1084,0.1162,0.2237,0.981,0.6788
12,"n=500, prev=0.5, low, strong",Fixed-0.5,0.5218,0.1281,0.1701,0.2632,0.88,0.6469
12,"n=500, prev=0.5, low, strong",No Caliper,1.0,0.7061,1.7679,1.7839,0.0,0.5956
13,"n=500, prev=0.7, high, weak",ACS-Balance,0.9666,0.0884,0.0962,0.1709,0.961,0.4832
13,"n=500, prev=0.7, high, weak",ACS-Knee,0.9767,0.1013,0.0971,0.172,0.953,0.481
13,"n=500, prev=0.7, high, weak",ACS-Weighted,0.9853,0.1115,0.1018,0.1756,0.938,0.4793
13,"n=500, prev=0.7, high, weak",Fixed-0.1,0.9284,0.0975,0.097,0.1743,0.957,0.4931
13,"n=500, prev=0.7, high, weak",Fixed-0.2,0.9483,0.0951,0.095,0.1714,0.962,0.4882
13,"n=500, prev=0.7, high, weak",Fixed-0.5,0.9709,0.1041,0.0946,0.1699,0.958,0.4825
13,"n=500, prev=0.7, high, weak",No Caliper,1.0,0.3929,0.2517,0.3049,0.479,0.4914
14,"n=500, prev=0.7, high, strong",ACS-Balance,0.9686,0.0875,0.1283,0.2291,0.952,0.6436
14,"n=500, prev=0.7, high, strong",ACS-Knee,0.9782,0.099,0.1465,0.2461,0.912,0.6421
14,"n=500, prev=0.7, high, strong",ACS-Weighted,0.9853,0.1086,0.177,0.2757,0.841,0.6429
14,"n=500, prev=0.7, high, strong",Fixed-0.1,0.9304,0.097,0.1104,0.2159,0.985,0.6539
14,"n=500, prev=0.7, high, strong",Fixed-0.2,0.95,0.0945,0.1076,0.2125,0.986,0.6462
14,"n=500, prev=0.7, high, strong",Fixed-0.5,0.9724,0.1027,0.1289,0.2274,0.957,0.6423
14,"n=500, prev=0.7, high, strong",No Caliper,1.0,0.389,0.8276,0.8806,0.029,0.7621
15,"n=500, prev=0.7, medium, weak",ACS-Balance,0.8442,0.0931,0.1031,0.1846,0.948,0.516
15,"n=500, prev=0.7, medium, weak",ACS-Knee,0.8991,0.1516,0.1198,0.1977,0.885,0.5007
15,"n=500, prev=0.7, medium, weak",ACS-Weighted,0.9387,0.1876,0.1372,0.2104,0.85,0.4903
15,"n=500, prev=0.7, medium, weak",Fixed-0.1,0.8016,0.1042,0.1059,0.1891,0.947,0.5285
15,"n=500, prev=0.7, medium, weak",Fixed-0.2,0.8204,0.1023,0.103,0.1854,0.95,0.5221
15,"n=500, prev=0.7, medium, weak",Fixed-0.5,0.8663,0.1211,0.1044,0.1844,0.941,0.5086
15,"n=500, prev=0.7, medium, weak",No Caliper,1.0,0.6016,0.4309,0.4678,0.078,0.4942
16,"n=500, prev=0.7, medium, strong",ACS-Balance,0.8404,0.0933,0.1404,0.2401,0.938,0.6555
16,"n=500, prev=0.7, medium, strong",ACS-Knee,0.8932,0.1502,0.274,0.3859,0.663,0.6439
16,"n=500, prev=0.7, medium, strong",ACS-Weighted,0.9387,0.1902,0.3997,0.4764,0.365,0.6355
