method,caliper,n_matched,retention,max_smd,mean_smd,att,se,bias,mse,coverage,ci_width,replication,scenario_id,n,treatment_prevalence,overlap_name,overlap_level,confounding_name,confounding_strength
Fixed-0.2,0.2,286,0.5731462925851704,0.051781968383538574,0.02402001829562921,0.34857628692217224,0.10998189895650676,-0.15142371307782776,0.03502515898035557,1.0,0.4329597152802363,9,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,314,0.6292585170340681,0.08903824647948923,0.032931934710971895,0.3887240554914791,0.10475407323027913,-0.11127594450852091,0.02335575168459811,1.0,0.412222366830132,9,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,499,1.0,0.5936190699933439,0.3910881944387878,1.7138329480492531,0.10894935356648672,1.2138329480492531,1.485260387412496,0.0,0.42811408424232544,9,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.6,322,0.6452905811623246,0.09330396362822707,0.04642719050368133,0.4134658546324033,0.10537483900117522,-0.08653414536759668,0.01859201500902395,1.0,0.41462506126030274,9,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.5,314,0.6292585170340681,0.08903824647948923,0.032931934710971895,0.3887240554914791,0.10475407323027913,-0.11127594450852091,0.02335575168459811,1.0,0.412222366830132,9,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.6,322,0.6452905811623246,0.09330396362822707,0.04642719050368133,0.4134658546324033,0.10537483900117522,-0.08653414536759668,0.01859201500902395,1.0,0.41462506126030274,9,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,283,0.5799180327868853,0.08948283226760784,0.05385073386608543,0.5423109751463391,0.1067329249850164,0.04231097514633908,0.013182135893691261,1.0,0.4201887194315716,10,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,290,0.5942622950819673,0.09865129054714156,0.04291846191949505,0.5353403456807888,0.10687189136599128,0.03534034568078881,0.012670541196981888,1.0,0.4206918887221715,10,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,310,0.6352459016393442,0.0879995070127788,0.043812651683025304,0.591868653162784,0.10256928050155743,0.09186865316278403,0.01896030673655108,1.0,0.4036451739496578,10,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,488,1.0,0.5046563501607467,0.3560283200304548,1.901461529343947,0.10934725020960645,1.401461529343947,1.976051239359477,0.0,0.42970125514866964,10,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.5,310,0.6352459016393442,0.0879995070127788,0.043812651683025304,0.591868653162784,0.10256928050155743,0.09186865316278403,0.01896030673655108,1.0,0.4036451739496578,10,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.45,308,0.6311475409836066,0.08731605398259878,0.039510873781534096,0.5845932396260016,0.10470135180825267,0.08459323962600163,0.018118389260897625,1.0,0.4120461577035124,10,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.5,310,0.6352459016393442,0.0879995070127788,0.043812651683025304,0.591868653162784,0.10256928050155743,0.09186865316278403,0.01896030673655108,1.0,0.4036451739496578,10,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,299,0.6216216216216216,0.08031761029706774,0.05329365734629953,0.267782839246226,0.10432508118880775,-0.23221716075377402,0.06480853231359546,0.0,0.4106144446326464,11,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,303,0.6299376299376299,0.06601453679054957,0.045912828722646536,0.2993912257048509,0.10079941983309142,-0.20060877429514912,0.050404403362889906,0.0,0.3967163224738235,11,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,320,0.6652806652806653,0.08744861504891101,0.042384358236283955,0.39163266811545455,0.10221444024213391,-0.10836733188454545,0.022191270413787986,1.0,0.4021991825674208,11,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,481,1.0,0.4223963290364217,0.29591350210611495,1.5790420344890412,0.10742417751794366,1.0790420344890412,1.175871666109656,0.0,0.422159505321392,11,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.9,351,0.7297297297297297,0.09684166289889173,0.07285043588057344,0.5894856522925748,0.09977558844725723,0.08948565229257477,0.017962850016224042,1.0,0.39247027099638493,11,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.5,320,0.6652806652806653,0.08744861504891101,0.042384358236283955,0.39163266811545455,0.10221444024213391,-0.10836733188454545,0.022191270413787986,1.0,0.4021991825674208,11,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.0,359,0.7463617463617463,0.10449795407524425,0.08407969716422393,0.6555354364804084,0.10202144040457614,0.15553543648040835,0.03459964630337562,1.0,0.40127328378058347,11,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,298,0.6247379454926625,0.05890187049486102,0.025411671157563067,0.3495307708643827,0.09934117818218974,-0.15046922913561728,0.03250965859929247,1.0,0.39100360410802526,12,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,299,0.6268343815513627,0.055232524257691616,0.0281168168782046,0.3263851847299699,0.09849694997305289,-0.1736148152700301,0.03984375323524075,1.0,0.3876754271391223,12,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,319,0.6687631027253669,0.06984162210533067,0.028529039194328313,0.4159854701375645,0.09777319481419625,-0.08401452986243552,0.01661803885218084,1.0,0.3847281251715437,12,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,477,1.0,0.5347761182606945,0.3486360580145699,1.7399531922667542,0.10758954104771495,1.2399531922667542,1.5490594283553722,0.0,0.4228183383314157,12,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.8,349,0.7316561844863732,0.09477395111118245,0.06146536363406845,0.5354166841004707,0.0995062216967072,0.03541668410047072,0.011155829669026777,1.0,0.39141851410532064,12,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.7,338,0.7085953878406709,0.09390347080632075,0.04488637243066837,0.5067137587746743,0.09488291709517983,0.006713758774674283,0.009047842513375287,1.0,0.37327476331628046,12,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.9,355,0.7442348008385744,0.10221944243437307,0.07170598875665687,0.5598516757334406,0.09463672852317287,0.059851675733440635,0.012538333473669647,1.0,0.37224181709509097,12,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,282,0.564,0.07797483397000604,0.04189343334007215,0.657284580795508,0.10327546160639163,0.157284580795508,0.03540426032603196,1.0,0.4065835313592323,13,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,284,0.568,0.08895542383056977,0.04657399400442175,0.6523843173512633,0.10257039084149278,0.15238431735126334,0.03374166525198712,1.0,0.4037954064235596,13,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,305,0.61,0.11391212651740347,0.03152163034768081,0.7187955212838889,0.09642837601112506,0.2187955212838889,0.057169911834031605,0.0,0.3795031580541117,13,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,500,1.0,0.5611635408140808,0.3858406951742835,2.0636906371839143,0.1022059030022273,1.5636906371839143,2.4555744554251366,0.0,0.40161388312182567,13,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.45,303,0.606,0.0959609157615175,0.03239679399968908,0.6959073327356865,0.10006397382124774,0.1959073327356865,0.04839248187651034,1.0,0.39382182727057957,13,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.5,305,0.61,0.11391212651740347,0.03152163034768081,0.7187955212838889,0.09642837601112506,0.2187955212838889,0.057169911834031605,0.0,0.3795031580541117,13,1,1000,0.5,medium,0.6,strong,1.0
